Country,1950,1951,1952,1953,1954,1955, 1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Finland,,42.0,40.5,38.9,37.3,35.7,34.0,32.3,30.4,28.6,26.8,25.2,23.8,22.5,21.3,20.2,19.3,18.4,17.6,16.9,16.1,15.4,14.6,13.8,13.1,12.2,11.4,10.6,9.9,9.2,8.7,8.2,7.9,7.6,7.4,7.3,7.3,7.2,7.1,6.9,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.6,3.5,3.3,3.2,3.0,2.9,2.7,2.6,2.4,2.3
France,57.1,53.4,49.7,46.3,43.1,40.2,37.4,34.8,32.4,30.3,28.5,27.0,25.7,24.5,23.4,22.3,21.4,20.6,19.9,19.1,18.2,17.4,16.6,15.9,15.4,15.0,14.5,13.9,13.3,12.8,12.4,11.9,11.5,11.1,10.7,10.3,10.0,9.8,9.6,9.3,9.0,8.6,8.1,7.6,7.0,6.5,6.1,5.8,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.3
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9,121.6,117.3,113.2,109.3,106.0,103.0,100.4,98.2,96.5,95.1,93.9,92.9,92.0,91.3,90.6,89.8,89.1,88.5,87.9,87.2,86.3,85.3,84.0,82.5,80.8,78.8,76.7,74.5,71.9,68.9,66.1,63.3,60.6,57.7,54.8,52.3,50.8
Gambia,,,,,,,388.9,382.1,375.5,368.6,362.4,356.3,350.3,344.1,338.3,332.4,326.5,320.5,314.6,308.8,302.6,296.4,290.0,283.5,276.9,270.4,263.9,257.5,251.2,244.9,238.5,231.9,225.3,218.3,211.2,204.0,196.8,189.9,183.1,176.6,170.2,164.2,158.5,152.9,147.5,142.4,137.4,132.5,127.9,123.2,118.8,114.5,110.2,106.0,101.9,97.9,94.2,90.6,87.4,84.3,81.4,78.6,76.1,73.6,71.1,68.9
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,66.3,64.3,62.3,60.2,58.3,56.5,54.7,53.2,51.8,50.7,49.8,49.1,48.6,48.1,47.7,47.2,46.6,46.0,45.2,44.3,43.0,41.5,39.8,37.8,35.7,33.4,31.1,28.9,26.7,24.6,22.7,20.9,19.3,17.9,16.6,15.5,14.4,13.4,12.6,11.9
Germany,,,,,,,,,,,,,,,,,,,27.2,26.4,25.7,24.9,24.0,23.1,22.0,20.8,19.5,18.3,17.1,16.0,15.0,14.1,13.2,12.5,11.8,11.1,10.6,10.1,9.5,9.0,8.5,8.0,7.6,7.2,6.8,6.5,6.2,5.9,5.7,5.5,5.4,5.2,5.1,5.0,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.7
Ghana,256.7,250.8,244.9,239.5,234.4,229.5,225.0,220.9,217.3,213.9,210.9,208.6,206.7,205.0,203.8,203.1,202.9,202.7,202.8,202.5,201.9,200.7,198.5,195.3,191.0,185.9,180.7,175.8,171.6,168.4,166.2,164.6,163.1,161.3,158.5,154.6,149.7,144.1,138.2,132.6,127.4,123.1,119.7,117.1,115.1,113.4,111.6,109.5,106.9,104.0,100.7,97.3,94.2,91.3,88.7,86.5,84.4,82.2,79.9,77.4,74.7,71.9,69.2,66.5,64.0,61.6
Greece,,,,,,59.8,59.6,59.2,58.3,57.1,55.8,54.4,52.8,51.0,49.3,47.8,46.3,44.6,42.4,40.0,37.6,35.6,34.1,33.1,32.4,31.4,30.1,28.5,26.9,25.1,23.5,21.9,20.6,19.5,18.5,17.4,16.4,15.3,14.3,13.3,12.6,11.9,11.4,10.9,10.5,10.1,9.7,9.3,8.8,8.3,7.8,7.3,6.8,6.3,5.9,5.5,5.2,5.0,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,27.0,26.5,25.9,25.2,24.3,23.3,22.3,21.2,20.2,19.3,18.5,17.9,17.3,16.8,16.4,16.0,15.6,15.2,14.9,14.5,14.2,14.0,13.7,13.5,13.4,13.2,13.0,12.7,12.5,12.2,11.8
Guatemala,,,,,,,,232.3,227.6,223.0,218.5,214.1,209.9,205.7,201.5,197.1,192.8,188.3,183.8,179.0,174.1,169.0,164.0,159.0,154.0,149.0,144.1,139.2,134.4,129.6,124.8,120.1,115.5,110.9,106.5,102.0,97.6,93.3,89.0,84.9,80.9,77.0,73.3,69.7,66.4,63.3,60.4,57.7,55.1,52.8,50.6,48.6,46.6,44.8,43.1,41.4,39.9,38.4,36.9,35.7,34.5,33.3,32.1,31.1,30.1,29.1
Guinea,,,,,,,,,,,,351.3,349.0,346.8,344.3,341.9,339.0,336.2,333.3,330.2,327.2,324.1,320.8,317.5,313.9,310.1,305.9,301.4,296.7,291.9,286.9,282.2,277.4,272.6,267.8,263.1,258.4,253.6,248.8,243.7,238.2,232.4,226.2,219.7,212.9,205.9,199.0,192.0,184.8,177.5,170.2,162.9,155.8,149.0,142.7,136.7,131.2,125.9,121.0,116.3,111.9,107.7,104.0,100.4,97.0,93.7
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.7,242.2,237.5,233.3,229.3,224.9,220.3,215.5,210.4,205.5,200.1,194.6,188.9,183.3,177.5,171.5,165.3,159.0,152.6,146.2,139.9,133.6,127.6,121.6,115.9,110.4,105.2,100.5,96.2,92.5
Guyana,157.7,150.2,143.0,135.9,128.8,121.8,115.2,108.9,103.2,98.0,93.3,89.2,85.7,82.8,80.4,78.5,77.0,75.9,74.9,74.3,73.9,73.6,73.4,73.2,73.0,72.7,72.4,72.0,71.5,71.0,70.4,69.8,69.2,68.5,67.7,66.8,65.8,64.7,63.3,61.9,60.4,58.8,57.2,55.6,54.1,52.7,51.4,50.2,49.0,47.8,46.7,45.6,44.8,44.0,43.4,42.8,42.4,42.1,41.9,41.7,41.5,41.4,41.2,40.8,40.2,39.4
Haiti,,,,,,,311.9,306.7,301.4,296.3,291.4,286.6,281.9,277.3,273.0,268.5,263.9,259.2,254.6,249.9,245.1,240.1,234.8,229.4,224.0,218.4,213.0,207.5,202.2,196.9,191.9,186.9,181.9,177.0,172.2,167.6,163.0,158.5,154.2,150.0,145.8,141.7,137.6,133.3,129.1,124.9,120.7,116.5,112.4,108.5,104.8,101.3,98.1,95.1,92.4,90.0,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71.0,69.0
Honduras,,,,,,,240.2,232.3,224.6,217.2,210.2,203.4,196.8,190.3,184.2,177.8,171.6,165.6,159.6,153.7,147.9,142.2,136.6,131.2,125.7,120.5,115.3,110.3,105.3,100.4,95.7,91.1,86.7,82.5,78.4,74.6,70.9,67.4,64.2,61.1,58.2,55.5,52.9,50.6,48.4,46.4,44.4,42.6,60.0,39.1,37.4,35.8,34.2,32.7,31.3,30.0,28.8,27.6,26.5,25.4,24.4,23.5,22.6,21.8,21.1,20.4
Hungary,,,,,73.0,72.5,71.9,70.6,67.6,63.2,58.9,56.1,54.4,52.7,50.8,48.9,47.4,46.2,45.0,43.7,42.7,42.3,42.2,42.0,41.2,39.2,35.9,32.3,29.4,27.5,26.2,25.1,24.2,23.9,24.1,24.0,23.0,21.5,20.2,19.6,19.1,18.3,17.2,15.9,14.7,13.8,13.1,12.6,12.2,11.7,11.2,10.5,9.8,9.2,8.7,8.3,7.9,7.5,7.2,6.8,6.6,6.4,6.3,6.2,6.1,5.9
Iceland,,29.2,27.8,26.5,25.3,24.4,23.6,22.9,22.3,21.8,21.4,21.1,20.7,20.2,19.7,19.1,18.5,17.8,17.1,16.5,15.8,15.2,14.6,14.0,13.4,12.8,12.2,11.5,10.9,10.3,9.8,9.2,8.8,8.4,8.0,7.7,7.4,7.1,6.9,6.6,6.4,6.2,5.9,5.7,5.5,5.2,5.0,4.7,4.5,4.2,4.0,3.8,3.6,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2.0
India,,,,279.5,274.5,269.5,264.9,260.4,256.0,251.8,247.7,243.7,240.0,236.3,232.9,229.6,226.3,223.1,219.8,216.6,213.3,209.9,206.1,202.2,197.9,193.4,188.6,183.4,178.2,172.8,167.6,162.6,157.9,153.5,149.2,145.2,141.2,137.3,133.4,129.5,125.8,122.2,118.8,115.4,112.1,108.7,105.3,101.9,98.3,94.8,91.2,87.7,84.3,81.0,77.7,74.6,71.5,68.5,65.6,62.7,59.9,57.2,54.5,52.1,49.8,47.7
Indonesia,,287.6,279.4,271.5,263.7,256.1,248.8,241.7,234.9,228.5,222.4,216.5,210.7,205.1,199.5,193.9,188.2,182.5,176.8,171.1,165.6,160.3,155.1,150.1,145.3,140.8,136.5,132.4,128.5,124.8,121.1,117.5,113.9,110.3,106.7,103.1,99.5,95.9,92.2,88.4,84.7,80.9,77.1,73.6,70.1,66.7,63.6,60.5,57.6,54.9,52.3,49.8,47.6,45.4,49.3,41.4,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2
Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,,,,186.6,178.2,170.2,162.0,153.7,145.2,136.4,127.4,118.5,109.9,101.9,94.6,88.2,82.5,77.4,72.8,68.5,64.5,60.8,57.5,54.5,51.9,49.6,47.4,45.3,43.2,41.1,38.9,36.8,34.7,32.7,30.8,29.0,27.3,25.7,24.2,22.8,21.4,20.2,19.2,18.3,17.5,16.8,16.1,15.5
Iraq,364.3,343.1,322.4,303.1,284.5,267.0,250.6,235.3,221.1,207.9,195.7,184.5,174.2,164.6,155.8,147.7,140.1,133.2,126.7,120.6,115.0,109.7,104.7,99.8,95.2,90.8,86.8,83.0,79.5,76.3,73.3,70.6,68.0,65.7,63.6,61.6,59.7,58.1,56.6,55.3,54.1,53.0,51.9,51.0,50.0,49.1,48.2,47.4,46.5,45.6,44.7,43.8,43.0,42.3,41.5,40.7,39.9,39.1,38.3,37.5,36.6,35.7,34.8,33.9,32.9,32.0
Ireland,54.2,51.9,49.5,47.1,44.9,43.0,41.3,39.7,38.2,36.8,35.3,33.9,32.5,31.3,30.1,28.6,27.0,25.5,24.1,23.0,22.2,21.7,21.4,21.1,20.6,20.0,19.1,18.0,16.8,15.5,14.3,13.3,12.4,11.7,11.1,10.7,10.4,10.1,9.9,9.6,9.2,8.6,8.1,7.7,7.4,7.3,7.3,7.3,7.3,7.3,7.1,6.9,6.5,6.1,5.6,5.2,4.9,4.6,4.5,4.3,4.2,4.1,4.0,3.8,3.7,3.6
Israel,,,,,,,,,,,,,,,,,,,,,,,,,29.2,26.2,23.8,21.8,20.2,19.0,18.0,17.3,16.6,16.0,15.2,14.4,13.7,13.1,12.5,12.1,11.6,11.1,10.5,9.9,9.2,8.7,8.2,7.8,7.5,7.2,6.9,6.6,6.4,6.1,5.8,5.6,5.3,5.1,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4.0
Italy,88.9,81.8,75.3,69.8,65.3,61.9,59.3,57.4,55.8,54.0,52.0,49.8,47.6,45.4,43.1,41.1,39.3,37.8,36.4,35.1,33.6,31.8,29.8,27.6,25.3,23.1,21.1,19.5,18.1,17.0,16.1,15.2,14.3,13.5,12.7,12.0,11.3,10.8,10.4,10.0,9.7,9.3,8.9,8.5,8.0,7.5,7.0,6.6,6.2,5.9,5.5,5.2,5.0,4.7,4.5,4.4,4.3,4.2,4.1,4.1,4.0,3.9,3.8,3.7,3.6,3.5
Jamaica,,,123.0,117.4,112.1,106.8,101.8,97.1,92.6,88.3,84.4,80.8,77.5,74.5,71.8,69.2,66.8,64.5,62.3,60.0,57.8,55.5,53.3,51.2,49.3,47.6,46.0,44.5,43.1,41.9,40.7,39.5,38.4,37.3,36.3,35.3,34.3,33.3,32.4,31.5,30.6,29.6,28.7,27.8,26.9,26.0,25.1,24.3,23.4,22.7,22.0,21.4,20.9,20.4,20.0,19.7,19.5,19.2,18.9,18.5,18.1,17.6,17.2,16.7,16.2,15.7
Japan,91.3,82.6,74.9,68.4,62.8,58.0,54.0,50.3,46.8,43.3,39.7,36.2,32.8,29.7,27.0,24.6,22.6,21.0,19.6,18.5,17.5,16.5,15.7,14.9,14.1,13.3,12.5,11.8,11.1,10.5,9.9,9.3,8.8,8.3,7.9,7.5,7.1,6.8,6.6,6.4,6.3,6.2,6.1,6.0,5.9,5.7,5.5,5.2,5.0,4.7,4.5,4.3,4.1,4.0,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3.0,2.9,2.8,2.7
Jordan,275.1,260.9,247.3,234.3,221.7,209.7,198.0,186.6,176.0,165.9,156.4,147.3,138.8,131.0,123.8,117.1,110.9,105.1,99.7,94.7,90.1,85.7,81.6,77.7,74.1,70.6,67.3,64.2,61.3,58.5,55.9,53.4,51.0,48.7,46.6,44.6,42.7,40.9,39.3,37.9,36.6,35.4,34.3,33.3,32.4,31.5,30.7,29.9,29.1,28.4,27.7,26.9,26.2,25.5,24.8,24.1,23.4,22.7,22.1,21.5,20.8,20.2,19.6,19.0,18.5,17.9
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,84.5,82.6,80.8,79.3,77.8,76.4,75.0,73.6,72.0,70.2,68.1,65.9,63.6,61.5,59.4,57.5,55.8,54.4,53.3,52.6,52.4,52.7,52.9,53.1,52.7,51.8,50.1,48.1,45.9,43.6,41.2,39.0,36.8,34.7,32.5,30.3,28.1,25.9,23.7,21.6,19.6,17.9,16.4,15.1,14.1
Kenya,,,304.1,287.2,271.3,256.5,242.9,230.4,219.0,208.6,199.2,190.6,183.1,176.7,171.2,166.6,162.6,159.0,155.5,152.0,148.3,144.7,141.0,137.2,133.1,129.0,124.8,120.5,116.3,112.4,108.7,105.3,102.3,99.8,97.9,96.8,96.3,96.7,97.9,99.8,102.3,105.2,108.2,111.1,113.4,114.8,115.4,114.9,113.4,111.0,107.9,104.1,99.9,95.4,90.6,85.5,80.7,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4
Kiribati,,,,,,,,,,,,,,180.5,173.5,167.0,160.7,154.8,149.5,144.4,140.0,136.0,132.5,129.8,127.7,126.0,124.8,124.0,123.3,122.9,122.3,121.7,120.7,119.3,117.4,114.9,111.9,108.3,104.3,100.1,96.0,92.2,89.0,86.2,83.8,81.6,79.4,77.3,75.1,72.8,70.6,68.5,66.9,65.7,65.1,64.8,64.8,64.8,64.5,63.9,62.9,61.7,60.4,58.9,57.4,55.9
Kuwait,,,,,,,,,,157.8,146.9,136.6,126.9,117.9,109.1,101.1,93.7,87.0,81.1,75.8,70.9,66.5,62.3,58.4,54.8,51.4,48.2,45.1,42.1,39.1,36.1,33.2,30.2,27.4,25.0,23.1,21.7,20.6,19.6,18.8,17.9,19.9,16.3,15.7,15.2,14.7,14.2,13.8,13.3,12.9,12.7,12.5,12.3,12.1,11.9,11.7,11.6,11.5,11.3,11.1,10.8,10.3,9.9,9.4,9.0,8.6
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,112.6,110.0,107.6,105.2,102.4,99.5,96.0,92.2,87.9,83.5,79.1,75.0,71.4,68.4,66.2,65.0,64.7,64.5,64.1,63.0,61.3,58.9,56.3,53.7,51.1,48.7,46.4,44.4,42.5,40.8,39.3,37.9,36.3,34.4,32.3,30.0,27.8,25.7,24.0,22.6,21.3
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.3,204.2,200.3,196.6,192.9,189.2,185.5,181.8,178.1,174.3,170.5,166.4,162.4,158.2,153.8,149.3,144.7,140.1,135.5,130.9,126.4,122.0,117.7,113.4,109.2,105.1,101.1,97.2,93.5,89.8,86.2,82.8,79.7,76.7,74.0,71.3,69.1,66.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,24.9,24.7,24.3,23.6,22.4,21.0,19.6,18.6,18.3,19.0,20.4,22.0,23.2,23.8,24.0,23.7,22.9,21.6,20.1,18.6,17.2,16.0,15.1,14.3,13.4,12.5,11.8,11.1,10.5,9.9,9.4,9.0,8.7,8.4,8.2,7.9
Lebanon,,,,,,,88.0,85.4,82.7,80.0,77.4,75.1,72.9,70.9,69.1,67.6,66.3,65.2,64.2,63.4,62.7,61.9,61.2,60.5,59.6,58.6,57.4,56.0,54.5,52.9,51.2,49.4,47.5,45.6,43.6,41.6,39.6,37.7,35.9,34.1,32.5,31.0,29.6,28.3,27.0,25.8,24.6,23.5,22.3,21.2,20.0,18.8,17.6,16.4,15.2,14.1,13.0,12.1,11.3,10.7,10.1,9.7,9.3,8.9,8.6,8.3
Lesotho,,,232.2,225.4,218.7,212.5,206.8,201.7,197.6,194.2,191.9,190.4,189.7,189.4,189.1,188.5,187.4,185.5,182.8,179.3,175.2,170.9,166.3,161.4,156.3,150.8,144.9,138.7,132.5,126.4,120.5,114.9,109.6,105.0,100.9,97.4,94.4,92.1,90.2,88.9,88.1,87.9,88.7,90.8,94.3,98.9,103.7,107.9,111.4,114.3,116.8,118.6,120.4,122.0,123.0,123.4,123.2,119.3,116.5,106.5,100.7,96.8,94.1,93.6,92.0,90.2
Liberia,,,,,,,,314.1,315.0,315.7,316.3,316.4,315.4,314.0,311.7,308.8,305.6,301.4,296.8,291.6,286.3,281.2,276.2,271.3,266.1,261.2,256.8,252.3,248.4,244.6,241.1,238.0,235.6,234.0,233.7,235.0,237.8,242.1,246.9,251.5,255.0,256.7,255.4,251.6,245.5,237.4,227.7,217.1,205.8,193.9,181.8,169.7,157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9
Libya,,,,,,,,,,300.3,281.5,263.4,246.7,230.7,215.2,200.6,186.6,173.2,160.5,148.7,137.8,127.6,118.3,109.9,102.3,95.5,89.4,84.0,79.1,74.8,70.8,67.2,63.7,60.5,57.3,54.4,51.6,48.9,46.3,43.9,41.6,39.5,37.6,35.9,34.4,33.1,31.9,30.8,29.9,29.0,28.1,27.3,26.5,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6,17.6,15.1,14.5,13.9,13.4
Lithuania,,,,,,,,,,,,,,,,,,30.2,29.2,27.1,25.0,23.7,23.3,23.6,24.2,24.8,25.0,24.7,24.0,23.2,22.4,21.7,21.2,20.7,20.1,19.2,17.9,16.7,15.9,15.8,16.5,18.0,19.7,20.0,18.6,16.5,14.8,13.6,12.8,12.2,11.8,11.3,10.9,10.5,10.2,9.9,9.5,8.8,8.1,7.4,6.7,6.1,5.6,5.3,5.2,5.2
Luxembourg,,,,,,,,,,,,,,,29.2,28.1,27.0,25.9,24.7,23.6,22.4,21.1,20.0,18.8,17.7,16.7,15.8,15.1,14.4,13.8,13.3,12.9,12.5,12.0,11.6,11.2,10.7,10.2,9.8,9.3,8.8,8.3,7.7,7.3,6.8,6.4,6.0,5.7,5.4,5.1,4.8,4.6,4.3,4.1,3.8,3.5,3.3,3.0,2.8,2.6,2.4,2.3,2.1,2.0,2.0,1.9
Madagascar,,,,,,,,,,,,,,,,,,,148.6,150.2,151.9,153.7,155.7,158.2,161.0,163.5,165.9,168.0,170.1,172.2,174.6,177.6,180.3,182.4,183.1,182.4,180.1,176.5,171.7,166.2,160.7,155.8,151.3,147.1,142.9,138.4,133.4,127.7,121.7,115.5,109.2,103.1,97.2,91.5,85.9,80.6,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6
Malawi,,,,,,,,,,,,,,,357.2,355.7,354.0,352.9,351.8,349.9,347.0,342.3,335.9,327.8,318.8,309.4,299.0,287.7,276.6,266.0,256.7,249.2,244.4,242.7,244.6,248.4,252.0,253.1,251.8,248.1,242.4,235.0,226.8,219.0,212.6,207.5,203.0,198.7,193.1,185.0,174.4,161.7,148.0,135.2,124.6,116.2,109.9,104.9,100.0,95.4,90.9,84.5,77.3,71.3,66.9,64.0
Malaysia,,,,,,,116.8,110.2,104.0,98.2,92.8,87.7,82.9,78.5,74.5,70.8,67.3,64.2,61.3,58.5,55.8,53.1,50.5,47.8,45.1,42.5,39.9,37.4,35.0,32.7,30.5,28.5,26.6,24.8,23.2,21.8,20.5,19.4,18.3,17.4,16.6,15.8,15.1,14.4,13.9,13.3,12.9,12.4,11.8,11.0,10.2,9.4,8.9,8.5,8.3,8.2,8.1,8.0,8.0,8.0,8.0,7.9,7.7,7.5,7.2,7.0
Maldives,,,,,,,,,,,,,,323.5,315.0,306.6,297.9,289.0,279.8,270.5,260.9,250.5,239.5,227.9,215.9,204.4,193.4,183.0,173.2,163.9,155.3,147.3,140.0,133.1,126.6,120.3,114.5,108.9,103.7,98.8,94.1,89.5,85.1,80.4,75.7,70.8,65.8,60.5,55.2,49.8,44.4,39.2,34.3,29.9,28.8,22.8,20.1,17.8,16.0,14.4,13.0,11.8,10.7,9.9,9.2,8.6
Mali,,,,,,,,,,,,,,443.5,435.8,428.5,421.8,415.4,409.8,404.6,400.0,395.4,390.3,384.0,376.6,368.3,359.4,350.4,341.4,332.9,324.7,317.0,308.9,300.7,292.6,285.0,277.9,271.3,265.2,259.5,254.4,250.0,246.6,243.9,242.0,240.0,237.9,235.3,231.7,226.4,219.6,211.2,201.8,191.8,181.7,171.8,162.9,155.1,148.3,142.0,136.6,131.7,127.0,122.7,118.3,114.7
Malta,,,,,57.1,53.7,50.6,47.6,45.0,42.7,40.7,39.1,37.7,36.5,35.4,34.3,33.1,31.8,30.5,29.2,27.8,26.5,25.1,23.9,22.6,21.4,20.3,19.3,18.4,17.6,16.9,16.3,15.7,15.1,14.5,13.9,13.3,12.7,12.2,11.7,11.3,10.9,10.5,10.2,9.8,9.4,9.1,8.7,8.4,8.1,7.8,7.5,7.3,7.2,7.0,7.0,6.9,6.8,6.8,6.8,6.7,6.7,6.7,6.6,6.5,6.4
Marshall Islands,,,,,,,,,,134.4,129.0,123.7,118.6,114.0,109.4,105.0,101.1,97.3,93.7,90.5,87.5,84.7,82.4,80.4,78.7,77.3,76.0,74.7,73.5,72.1,70.5,68.8,66.9,64.9,62.8,60.7,58.7,56.6,54.5,52.4,50.3,48.3,46.4,44.8,43.4,42.5,41.9,41.6,41.5,41.5,41.4,41.3,41.1,40.7,40.4,40.2,39.9,39.7,39.5,39.3,39.1,38.8,38.3,37.8,37.0,36.0
Mauritania,316.4,311.4,306.3,300.7,294.8,288.8,282.7,276.2,269.6,262.8,255.9,249.0,242.0,235.2,228.5,222.0,215.5,208.8,202.6,197.5,193.9,191.5,190.2,189.3,188.0,185.5,182.0,178.0,173.4,168.6,164.1,159.5,154.9,150.0,144.8,139.2,133.7,128.6,124.3,120.7,118.1,116.2,114.9,114.3,113.9,113.8,113.9,113.9,113.9,113.6,113.5,113.1,112.9,112.4,111.4,109.8,107.9,105.5,103.0,100.4,97.8,95.4,92.7,90.2,87.5,84.7
Mauritius,,,,,,,135.4,121.1,111.7,105.8,102.1,98.6,93.4,87.0,83.6,86.4,92.7,96.1,92.7,86.9,82.9,81.0,79.4,76.9,72.3,65.2,57.4,50.8,46.2,42.9,40.3,37.7,34.7,31.3,28.9,28.4,29.0,28.8,27.1,24.9,23.1,21.8,21.2,21.2,21.6,22.2,22.7,22.6,21.6,20.2,18.6,17.1,16.1,15.6,15.6,15.7,15.9,16.0,15.8,15.5,15.2,14.9,14.6,14.3,13.9,13.5
Mexico,,,,,,,,,,,,,,129.7,127.3,124.6,122.0,119.1,115.8,112.3,108.6,104.9,101.1,97.7,94.5,91.5,88.6,85.6,82.4,78.8,75.1,71.3,67.6,64.3,61.4,58.7,56.2,53.8,51.4,49.0,46.6,44.1,41.7,39.4,37.2,35.0,33.0,31.0,29.1,27.3,25.6,24.1,22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16.0,15.3,14.5,13.8,13.2
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,58.0,58.7,59.0,59.0,58.6,58.0,57.1,56.3,55.6,55.2,55.0,55.1,55.3,55.6,55.9,56.0,55.6,54.9,53.9,52.8,51.6,50.2,48.8,47.4,45.9,44.6,43.1,42.0,40.7,39.4,38.2,37.0,35.8,34.7
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.8,7.4,7.1,6.8,6.5,6.2,6.0,5.8,5.5,5.3,5.2,5.0,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.5
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.9,172.7,165.9,159.4,153.3,147.4,141.5,135.8,130.0,124.2,118.5,113.1,107.8,102.8,98.0,93.4,89.0,84.6,80.3,75.9,71.5,67.1,62.7,58.4,54.3,50.4,46.8,43.4,40.3,37.4,34.8,32.3,30.0,28.0,26.2,24.7,23.5,22.4
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,24.6,22.4,20.5,18.9,17.6,16.6,16.0,15.6,15.3,15.2,15.1,15.0,14.9,14.6,14.3,13.8,13.2,12.6,11.9,11.1,10.4,9.6,8.9,8.1,7.4,6.8,6.2,5.7,5.3,5.0,4.7
Morocco,,,,,,,259.7,254.4,249.3,244.3,239.4,234.5,229.6,224.5,219.3,214.1,208.7,203.4,198.1,193.2,188.7,184.4,180.4,176.1,171.4,166.2,160.4,154.1,147.4,140.6,133.8,127.2,120.8,114.6,108.6,103.0,97.7,92.7,88.1,84.0,80.1,76.5,73.0,69.7,66.4,63.3,60.3,57.5,54.8,52.3,50.0,47.9,45.8,43.9,42.1,40.4,38.8,37.3,35.8,34.5,33.1,31.9,30.7,29.7,28.6,27.6
Mozambique,,,,,,,,,,,,,,,,278.0,277.2,275.9,274.9,273.7,272.6,271.5,270.4,269.4,268.3,266.7,265.7,264.4,263.4,262.5,261.8,261.0,259.8,258.3,256.2,253.8,251.2,248.5,245.7,242.8,239.7,236.4,232.4,227.7,222.0,215.2,207.4,198.8,189.5,180.1,171.1,162.5,154.5,147.1,140.2,133.8,127.8,120.1,113.6,107.6,102.8,97.5,90.9,85.6,81.2,78.5
Myanmar,,,,,,,,,,,,,,,,,,,187.5,183.3,179.2,175.2,171.2,167.1,163.2,159.1,155.3,151.2,147.3,143.6,140.0,136.7,133.4,130.3,127.2,124.3,121.3,118.5,115.6,112.7,109.9,107.0,104.1,101.1,98.2,95.4,92.7,90.0,87.4,84.8,82.3,79.9,77.5,75.2,72.8,70.5,68.1,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50.0
Namibia,,,,,,,,,,,,,,,,,,96.1,96.2,96.4,96.7,97.0,97.2,97.5,97.8,98.1,98.4,98.6,98.6,98.4,97.7,96.5,94.7,92.5,89.8,87.0,83.9,81.1,78.3,75.7,73.5,71.7,70.4,69.7,69.7,70.2,71.2,72.4,73.7,74.9,75.7,76.0,75.8,75.2,73.9,71.7,68.4,64.0,60.1,56.7,53.8,51.6,49.9,47.7,46.4,45.4
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,54.9,53.1,51.3,49.6,48.0,46.4,44.9,43.5,42.2,41.2,40.3,39.5,39.0,38.8,38.7,39.0,39.3,39.7,39.7,39.4,38.8,38.1,37.2,36.3,35.4
